company_id,company_name,exchange_ticker,industry,is_provisional,green_bond_issuer,classification,bond_isin,issue_date,amount_currency,label,icma_structure,standard_claimed,external_reviewer,review_type,framework_url,allocation_report,sgx_recognised,profitability_flag,fy_minus1_net_income,fy_minus2_net_income,operating_cf_trend,traction_flag,traction_evidence,source_url_1,source_url_2,verified_by,access_date,notes
HOSE:HATL,Hai Au Telecom,HATL,Communication Services — Telecom,TRUE,Y,labelled_unreviewed,,2020-05-15,USD 100m,green,standard_use_of_proceeds,ICMA GBP,,,,N,N,profitable,MOCK,MOCK,improving,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
HOSE:LVTB,Lac Viet Bank,LVTB,Financials — Banks,TRUE,Y,cbi_certified,,2020-01-15,USD 250m,green,standard_use_of_proceeds,CBI Climate Bonds Standard,MOCK reviewer (fictional company),SPO,,Y,N,profitable,MOCK,MOCK,flat,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
HOSE:MKHV,Mekong Harvest,MKHV,Consumer Staples,TRUE,Y,labelled_reviewed,,2020-02-15,USD 175m,green,standard_use_of_proceeds,ICMA GBP,MOCK reviewer (fictional company),SPO,,Y,N,profitable,MOCK,MOCK,flat,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
HOSE:MKMB,Mekong Mobile,MKMB,Communication Services — Telecom,TRUE,N,none,,,,,,,,,,,N,loss_making,MOCK,MOCK,flat,Y,MOCK — revenue growth two consecutive halves,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
HOSE:RRRE,Red River Renewables,RRRE,Energy — Power & Renewables,TRUE,Y,cbi_certified,,2024-02-15,USD 150m,green,standard_use_of_proceeds,CBI Climate Bonds Standard,MOCK reviewer (fictional company),SPO,,Y,N,profitable,MOCK,MOCK,flat,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
HOSE:SSQE,Saigon Square Estates,SSQE,Real Estate,TRUE,Y,labelled_unreviewed,,2024-05-15,USD 175m,green,standard_use_of_proceeds,ICMA GBP,,,,N,N,loss_making,MOCK,MOCK,improving,Y,MOCK — revenue growth two consecutive halves,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
IDX:AKRA,AKR Corporindo,AKRA,Energy — Fuel & Chemical Distribution / Logistics,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
IDX:ANTM,Aneka Tambang (ANTAM),ANTM,Materials — Metals & Mining (Nickel/Gold),TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
IDX:ASMB,ASEAN Mobile,ASMB,Communication Services — Telecom,TRUE,Y,cbi_certified,,2023-07-15,USD 175m,green,standard_use_of_proceeds,CBI Climate Bonds Standard,MOCK reviewer (fictional company),SPO,,Y,N,profitable,MOCK,MOCK,flat,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
IDX:BBCA,Bank Central Asia (BCA),BBCA,Financials — Banks,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
